0.1	0.0224774	0.050260994
0.2	0.0227386	0.050845055
0.3	0.0230248	0.051485018
0.4	0.0263	0.058808588
0.5	0.0568646	0.077997961
0.6	0.0613974	0.085207184
0.7	0.0570062	0.078313282
0.8	0.0541998	0.074230923
0.9	0.0900662	0.082416266
1	0.0897538	0.082080109
1.1	0.0995022	0.075638782
1.2	0.0967842	0.083841715
1.3	0.1234346	0.07043315
1.4	0.125188	0.07043935
1.5	0.131015	0.071584301
1.6	0.1296488	0.07125225
1.7	0.1332316	0.065374116
1.8	0.1387574	0.053796511
1.9	0.160081	0.033868958
2	0.1594	0.05005225
2.1	0.1656886	0.031814683
2.2	0.1677144	0.058292841
2.3	0.2227826	0.141661789
2.4	0.255086	0.21886059
2.5	0.2129674	0.126315994
2.6	0.2250136	0.118626409
2.7	0.2153784	0.028277503
2.8	0.3218432	0.199184617
2.9	0.445642	0.298349802
3	0.4374304	0.289401025
3.1	0.4099746	0.230753619
3.2	0.4403582	0.249027601
3.3	0.5663914	0.375152511
3.4	0.4443548	0.198930487
3.5	0.5924764	0.183504472
3.6	0.6021508	0.244637357
3.7	0.6522128	0.170375441
3.8	0.625131	0.250897596
4	0.6567124	0.249570292
4.1	0.5976932	0.194018718
4.2	0.5099768	0.223031647
4.3	0.344465	0.154071051
